url,site_lot_id,actual_bid,opening_date,ending_date,minimal_increment,lot_status,brand,model,year,appraisal_value,location
https://www.lut.com.br//lote/veiculo-fiat-strada-working-cd/89592,89592,"R$ 56.720,00",01/03/2022,,"R$ 2.500,00",,FIAT,STRADA WORKING CD,2014,"R$ 56.720,00",BRASNORTE/MT
https://www.lut.com.br//lote/veiculo-fiat-doblo-cargo/89094,89094,"R$ 13.000,00",11/01/2022,,"R$ 1.000,00",,FIAT,DOBLO CARGO,fabricação2005,"R$ 13.000,00",SÃO PAULO/SP
https://www.lut.com.br//lote/veiculo-kia-sportage-lx-off-g/89682,89682,"R$ 34.800,00",30/12/2021,,"R$ 1.000,00",,Kia,SPORTAGE LX2 OFF G4,2013,"R$ 58.000,00",SÃO SEBASTIÃO/SP
https://www.lut.com.br//lote/motocicleta-honda-bros-mix-es/89182,89182,"R$ 55.056,00",21/01/2022,,"R$ 2.500,00",,Honda,HONDA BROS MIX ES,2011,"R$ 55.056,00",Não informado/SP
https://www.lut.com.br//lote/veiculo-toyota-hylux-cd-x/89197,89197,"R$ 48.000,00",15/12/2021,,"R$ 500,00",,Toyota,HYLUX CD 4X4,",nº644","R$ 80.000,00",POTIRENDABA/SP
https://www.lut.com.br//lote/motocicleta-honda-cg-fan-es/89195,89195,"R$ 2.700,00",14/12/2021,18/01/2022 10:01:03,"R$ 150,00",Aberto,Honda,HONDA CG 125 FAN ES,defabricação2009,"R$ 4.500,00",SÃO JOSÉ DO RIO PRETO/SP
https://www.lut.com.br//lote/motocicleta-yamaha-ybr-ed/89192,89192,"R$ 1.586,40",13/12/2021,17/01/2022 09:30:00,"R$ 100,00",Fechado,Yamaha,YAMAHA YBR 125 ED,2002,"R$ 2.644,00",RIBEIRÃO PRETO/SP
https://www.lut.com.br//lote/veiculo-chevrolet-monza/89178,89178,"R$ 2.000,00",14/01/2022,17/01/2022 09:30:00,"R$ 150,00",Fechado,Chevrolet,MONZA,1986,"R$ 2.000,00",FRANCA/SP
https://www.lut.com.br//lote/veiculo-honda-hr-v-ex-cv/89171,89171,"R$ 71.500,00",09/12/2021,13/01/2022 10:07:47,"R$ 1.000,00",Fechado,Honda,HR-V EX CV,2015,"R$ 65.000,00",FRANCA/SP
https://www.lut.com.br//lote/veiculo-fiat-siena-fire-flex/89092,89092,"R$ 17.317,00",07/01/2022,10/01/2022 10:00:00,"R$ 1.000,00",Fechado,FIAT,SIENA FIRE FLEX,defabricação2007,"R$ 17.317,00",SÃO PAULO/SP
https://www.lut.com.br//lote/veiculo-chevrolet-s-ltz-fd/89144,89144,"R$ 39.329,50",06/12/2021,10/01/2022 09:31:00,"R$ 1.000,00",Fechado,Chevrolet,S10 LTZ FD2,2012,"R$ 56.185,00",ARAÇATUBA/SP
https://www.lut.com.br//lote/motocicleta-honda-biz-es/89173,89173,"R$ 4.500,00",04/01/2022,07/01/2022 11:00:00,"R$ 200,00",Fechado,Honda,HONDA BIZ 125ES,2006,"R$ 4.500,00",PONTAL/SP
https://www.lut.com.br//lote/veiculo-mercedes-benz-sprinter-cdi/89138,89138,"R$ 27.027,60",03/12/2021,07/01/2022 11:00:00,"R$ 1.000,00",Fechado,Mercedes Benz,BENZ SPRINTER 311 CDI,2003,"R$ 45.046,00",CARAGUATATUBA/SP
https://www.lut.com.br//lote/veiculo-volkswagen-voyage-l/89059,89059,"R$ 1.100,00",03/01/2022,06/01/2022 12:00:00,"R$ 100,00",Fechado,Volkswagen,VOYAGE L5,defabricação1986,"R$ 1.100,00",SÃO JOSÉ DO RIO PRETO/SP
https://www.lut.com.br//lote/veiculo-volkswagen-fox-prime-gii/89057,89057,"R$ 34.392,00",02/01/2022,05/01/2022 10:00:00,"R$ 1.000,00",Fechado,Volkswagen,FOX 1.6 PRIME GII,2012,"R$ 34.392,00",SUMARÉ/SP
https://www.lut.com.br//lote/motocicleta-honda-cb-r/89055,89055,"R$ 4.800,00",29/11/2021,03/01/2022 10:00:00,"R$ 200,00",Fechado,Honda,HONDA CB 300R,2009,"R$ 8.000,00",SÃO BERNARDO DO CAMPO/SP
https://www.lut.com.br//lote/veiculo-fiat-tipo/88827,88827,"R$ 4.861,00",28/12/2021,31/12/2021 11:00:00,"R$ 200,00",Fechado,FIAT,TIPO 1.6,Not found,"R$ 4.861,00",GUARATUBA/SP
https://www.lut.com.br//lote/veiculo-fiat-siena-fire-flex/88700,88700,"R$ 18.597,00",28/12/2021,,"R$ 1.000,00",,FIAT,SIENA FIRE FLEX,Not found,"R$ 18.597,00",ITAPEVI/SP
https://www.lut.com.br//lote/veiculo-kia-sportage-lx-off-g/89060,89060,"R$ 58.000,00",27/12/2021,30/12/2021 13:00:00,"R$ 2.500,00",Fechado,Kia,SPORTAGE LX2 OFF G4,2013,"R$ 58.000,00",SÃO SEBASTIÃO/SP
https://www.lut.com.br//lote/veiculo-volkswagen-polo/88852,88852,"R$ 14.794,20",22/11/2021,27/12/2021 11:00:00,"R$ 1.000,00",Fechado,Volkswagen,POLO 1.6,Not found,"R$ 24.657,00",CAMPINAS/SP
https://www.lut.com.br//lote/veiculo-fiat-uno-mille-smart/88757,88757,"R$ 1.800,00",21/12/2021,24/12/2021 10:00:00,"R$ 100,00",Fechado,FIAT,UNO MILLE SMART,2000,"R$ 1.800,00",CAMPINAS/SP
https://www.lut.com.br//lote/veiculo-chevrolet-astra-hb-p-advantage/88830,88830,"R$ 10.110,00",18/11/2021,23/12/2021 11:00:00,"R$ 1.000,00",Fechado,Chevrolet,ASTRA HB2P ADVANTAGE,2005,"R$ 16.850,00",RIBEIRÃO PRETO/SP
https://www.lut.com.br//lote/veiculo-volkswagen-polo/88829,88829,"R$ 22.000,00",18/11/2021,23/12/2021 10:18:08,"R$ 1.000,00",Fechado,Volkswagen,POLO 1.6,mod2012,"R$ 20.000,00",RIBEIRÃO PRETO/SP
https://www.lut.com.br//lote/veiculo-ford-ranger-xl-d-x-cabine-dupla/88835,88835,"R$ 37.519,00",20/12/2021,23/12/2021 09:30:00,"R$ 1.000,00",Fechado,Ford,RANGER XL 13D 4X4 CABINE DUPLA,Not found,"R$ 37.519,00",OSASCO/SP
